bee	atlocation	jar
bee	atlocation	michigan
bee	atlocation	movie
bee	atlocation	nature
bee	atlocation	nest
bee	atlocation	outdoors
bee	atlocation	outside
bee	atlocation	park
bee	atlocation	sky
bee	atlocation	sunshine
bee	atlocation	yard
bee	capableof	fly
bee	desires	flower
bee	relatedto	wings
beer	atlocation	bar
beer	atlocation	beach
beer	atlocation	boat
beer	atlocation	bottle
beer	atlocation	can
beer	atlocation	casino
beer	atlocation	concert
beer	atlocation	container
beer	atlocation	home
beer	atlocation	plane
beer	atlocation	refrigerator
beer	atlocation	shelf
beer	atlocation	store
beer	causes	drunkenness
beer	hasproperty	liquid
beer	isa	alcohol
beer	relatedto	alcohol
beer	relatedto	drink
beer	relatedto	drinking
beer	relatedto	england
beer	relatedto	wine
beer	usedfor	drinking
bench	antonym	chair
bench	atlocation	garden
bench	atlocation	lawn
bench	relatedto	bus
bench	relatedto	chair
bench	relatedto	park
bench	relatedto	place
bench	relatedto	seats
bench	usedfor	sleeping
bicycle	atlocation	garage
bicycle	atlocation	park
bicycle	atlocation	shed
bicycle	atlocation	store
bicycle	atlocation	street
bicycle	atlocation	university
bicycle	isa	company
bicycle	relatedto	exercise
bicycle	usedfor	entertainment
bird	antonym	fish
bird	antonym	human
bird	antonym	plane
bird	atlocation	air
bird	atlocation	cage
bird	atlocation	countryside
bird	atlocation	forest
bird	atlocation	garden
bird	atlocation	lawn
bird	atlocation	nest
bird	atlocation	roof
bird	atlocation	sea
bird	atlocation	sky
bird	atlocation	tree
bird	atlocation	windowsill
bird	capableof	fly
bird	desires	fly
bird	relatedto	air
bird	relatedto	airplane
bird	relatedto	animals
bird	relatedto	chicken
bird	relatedto	fly
bird	relatedto	friend
bird	relatedto	living
bird	relatedto	nest
bird	relatedto	outside
bird	relatedto	singing
bird	relatedto	sky
bird	relatedto	tree
bird	relatedto	trees
bird	relatedto	wings
birds	atlocation	air
birds	atlocation	countryside
birds	atlocation	forest
birds	atlocation	nest
birds	atlocation	park
birds	atlocation	roof
birds	atlocation	sky
birds	hasproperty	light
birds	hasproperty	singing
birds	relatedto	bird
blanket	atlocation	backpack
blanket	atlocation	bedroom
blanket	atlocation	closet
blanket	atlocation	hospital
blanket	atlocation	michigan
blanket	relatedto	bed
blanket	relatedto	bedroom
blanket	relatedto	people
blanket	relatedto	plate
blanket	relatedto	punishment
blanket	relatedto	sleeping
blanket	relatedto	sleeping
blood	antonym	water
blood	atlocation	animals
blood	atlocation	hospital
blood	atlocation	person
blood	atlocation	war
blood	hasproperty	liquid
blood	isa	liquid
blood	partof	body
blood	relatedto	animals
blood	relatedto	animals
blood	relatedto	body
blood	relatedto	bone
blood	relatedto	cold
blood	relatedto	color
blood	relatedto	cut
blood	relatedto	food
blood	relatedto	force
blood	relatedto	heart
blood	relatedto	heart
blood	relatedto	human
blood	relatedto	humans
blood	relatedto	injury
blood	relatedto	inside
blood	relatedto	liquid
blood	relatedto	liquid
blood	relatedto	mind
blood	relatedto	people
blood	relatedto	stuff
blood	relatedto	tears
blood	relatedto	water
boat	antonym	car
boat	antonym	car
boat	antonym	ship
boat	antonym	ship
boat	atlocation	bay
boat	atlocation	garage
boat	atlocation	harbor
boat	atlocation	lake
boat	atlocation	ocean
boat	atlocation	river
boat	atlocation	water
boat	hascontext	act
boat	hassubevent	motion
boat	isa	person
boat	isa	ship
boat	notdesires	sink
boat	relatedto	car
boat	relatedto	chair
boat	relatedto	lake
boat	relatedto	like
boat	relatedto	movement
boat	relatedto	ocean
boat	relatedto	river
boat	relatedto	sea
boat	relatedto	ship
boat	relatedto	ship
boat	relatedto	tree
boat	relatedto	water
boat	relatedto	water
boat	relatedto	wood
body	antonym	head
body	antonym	head
body	antonym	mind
body	antonym	mind
body	atlocation	funeral
body	hassubevent	change
body	hassubevent	communication
body	hassubevent	motion
body	isa	food
body	isa	state
body	partof	person
body	partof	state
body	relatedto	arm
body	relatedto	bone
body	relatedto	building
body	relatedto	clothes
body	relatedto	company
body	relatedto	container
body	relatedto	dead
body	relatedto	defeat
body	relatedto	head
body	relatedto	human
body	relatedto	humans
body	relatedto	information
body	relatedto	knowledge
body	relatedto	living
body	relatedto	mind
body	relatedto	movement
body	relatedto	outside
body	relatedto	people
body	relatedto	person
body	relatedto	person
body	relatedto	shower
body	relatedto	skeleton
body	relatedto	skin
body	relatedto	stomach
body	relatedto	trunk
body	relatedto	water
body	usedfor	food
bone	antonym	blood
bone	antonym	skin
bone	atlocation	arm
bone	atlocation	cow
bone	atlocation	fish
bone	atlocation	food
bone	atlocation	human
bone	atlocation	museum
bone	atlocation	skeleton
bone	atlocation	vertebrates
bone	relatedto	animals
bone	relatedto	arm
bone	relatedto	bad
bone	relatedto	body
bone	relatedto	can
bone	relatedto	container
bone	relatedto	dead
bone	relatedto	dog
bone	relatedto	food
bone	relatedto	home
bone	relatedto	human
bone	relatedto	humans
bone	relatedto	inside
bone	relatedto	like
bone	relatedto	mouth
bone	relatedto	muscles
bone	relatedto	people
bone	relatedto	skeleton
bone	relatedto	skin
bone	relatedto	stick
bone	relatedto	strength
book	antonym	magazine
book	atlocation	backpack
book	atlocation	bed
book	atlocation	bedroom
book	atlocation	briefcase
book	atlocation	classroom
book	atlocation	closet
book	atlocation	desk
book	atlocation	drawer
book	atlocation	floor
book	atlocation	house
book	atlocation	library
book	atlocation	library
book	atlocation	shelf
book	atlocation	store
book	atlocation	synagogue
book	atlocation	table
book	atlocation	university
book	causes	sleep
book	madeof	paper
book	madeof	papers
book	partof	library
book	relatedto	article
book	relatedto	container
book	relatedto	dictionary
book	relatedto	entertainment
book	relatedto	information
book	relatedto	inside
book	relatedto	library
book	relatedto	magazine
book	relatedto	newspaper
book	relatedto	paper
book	relatedto	papers
book	relatedto	product
book	relatedto	school
book	relatedto	shelf
book	relatedto	storage
book	relatedto	work
book	usedfor	education
book	usedfor	enlightenment
book	usedfor	entertainment
book	usedfor	inspiration
book	usedfor	instruction
book	usedfor	learning
book	usedfor	school
books	atlocation	attic
books	atlocation	backpack
books	atlocation	bed
books	atlocation	cabinet
books	atlocation	classroom
books	atlocation	college
books	atlocation	desk
books	atlocation	desktop
books	atlocation	hotel
books	atlocation	room
books	atlocation	shelf
books	atlocation	table
books	atlocation	university
books	hasproperty	entertaining
books	madeof	papers
books	partof	library
books	relatedto	book
boot	atlocation	foot
boot	isa	shoe
boot	relatedto	rain
boot	relatedto	shoe
boot	relatedto	trunk
boredom	antonym	excitement
boredom	antonym	fun
